name,price,rpm,noise_level,color,size,slug
Thermalright Peerless Assassin 120 SE,34.9,1550,25.6,Black / Silver,,thermalright-peerless-assassin-120-se
ARCTIC Liquid Freezer III Pro 360,84.99,"600,3000",,Black,360.0,liquid-freezer-iii-pro-360
Cooler Master Hyper 212 Black Edition,25.99,"650,2000","6.5,26",Black,,cooler-master-hyper-212-black-edition
Thermalright Phantom Spirit 120 SE ARGB,37.9,1500,25.6,Black / Silver,,thermalright-phantom-spirit-120-se-argb
Thermalright Aqua Elite V3,54.9,1500,25.6,Black,360.0,thermalright-aqua-elite-v3
Noctua NH-D15 chromax.black,139.94,"300,1500","19.2,24.6",Black,,nh-d15-chromax-black
NZXT Kraken 360,179.99,"500,1800","17.9,30.6",Black,360.0,kraken-360
Corsair NAUTILUS 360 RS ARGB,129.99,2100,34,Black,360.0,nautilus-360-rs-argb
ARCTIC Liquid Freezer III 360 A-RGB,159.99,"200,2000",,Black,360.0,liquid-freezer-iii-360-a-rgb
Thermalright Assassin X 120 Refined SE,17.89,1550,25.6,Black / Silver,,thermalright-assassin-x-120-refined-se
Cooler Master MasterLiquid 360L Core ARGB,74.98,"350,1750",27.2,Black,360.0,cooler-master-masterliquid-360l-core-argb
ARCTIC Liquid Freezer III Pro A-RGB 360,93.99,"600,3000",,Black,360.0,liquid-freezer-iii-pro-a-rgb-360
Thermalright Phantom Spirit 120 SE,35.9,1500,25.6,Black / Silver,,thermalright-phantom-spirit-120-se
ID-COOLING SE-214-XT ARGB,17.98,"500,1500","13.8,30.5",Black,,id-cooling-se-214-xt-argb
NZXT Kraken 240,99.99,"500,1800","17.9,30.6",Black,240.0,kraken-240
Thermalright Aqua Elite V3,44.9,1500,25.6,Black,240.0,thermalright-aqua-elite-v3
Thermalright Peerless Assassin 120 SE ARGB,36.9,1550,25.6,Black,,thermalright-peerless-assassin-120-se-argb
ARCTIC Liquid Freezer III 360 A-RGB,149.99,"200,2000",,White,360.0,liquid-freezer-iii-360-a-rgb
AMD Wraith Prism,62.35,2800,42,,,amd-wraith-prism
ARCTIC Freezer 36,44.19,"200,1800",,Black,,freezer-36
Corsair NAUTILUS 360 RS ARGB,129.99,2100,34,White,360.0,nautilus-360-rs-argb
ARCTIC Liquid Freezer III Pro A-RGB 360,100.49,"600,3000",,White,360.0,liquid-freezer-iii-pro-a-rgb-360
Thermalright Phantom Spirit EVO,59.99,2150,27,Black,,thermalright-phantom-spirit-evo
Noctua NH-D15,129.94,"300,1500","19.2,24.6",,,nh-d15
be quiet! Dark Rock Pro 5,99.9,"1300,2000","8.9,23.3",Black,,be-quiet-dark-rock-pro-5
NZXT Kraken 360 RGB,219.99,"500,1800","17.9,30.6",White,360.0,kraken-360-rgb
Asus ROG STRIX LC 360 RGB GUNDAM,1621.0,"800,2500",37.6,White,360.0,asus-rog-strix-lc-360-rgb-gundam
Thermalright Frozen Notte ARGB,55.39,2000,27.7,Black,360.0,thermalright-frozen-notte-argb
Thermalright Peerless Assassin 120 SE WHITE ARGB,36.9,1550,25.6,White,,thermalright-peerless-assassin-120-se-white-argb
ARCTIC Liquid Freezer III Pro,70.98,"600,3000",,Black,240.0,liquid-freezer-iii-pro
Corsair iCUE LINK TITAN 360 RX LCD,194.99,"300,2100","10,36",Black,360.0,icue-link-titan-360-rx-lcd
ID-COOLING FROZN A620 PRO SE,29.99,"300,2000",27.2,Black,,id-cooling-frozn-a620-pro-se
Noctua NH-L9x65 chromax.black,79.95,"600,2500","14.8,23.6",Black,,nh-l9x65-chromax-black
Thermalright Assassin King SE ARGB,19.09,1550,25.6,White,,thermalright-assassin-king-se-argb
Lian Li Galahad II Trinity SL-INF,168.99,2100,29,Black,360.0,lian-li-galahad-ii-trinity-sl-inf
NZXT Kraken 360 RGB,199.99,"500,1800","17.9,30.6",Black,360.0,kraken-360-rgb
Noctua NH-L9A-AM5,49.95,"600,2500","14.8,23.6",Brown / Silver,,nh-l9a-am5
Thermalright Assassin X SE,16.89,2200,23.85,Black / Silver,,thermalright-assassin-x-se
Asus ROG Ryujin III 360 ARGB Extreme,374.99,"1,2800",36,Black,360.0,asus-rog-ryujin-iii-360-argb-extreme
Thermalright Aqua Elite V3,54.59,1500,25.6,White,360.0,thermalright-aqua-elite-v3
Cooler Master MasterLiquid 240L Core ARGB,84.99,"350,1750",27.2,Black,240.0,cooler-master-masterliquid-240l-core-argb
Thermalright AQUA ELITE ARGB V4,60.9,1550,25.6,Black,360.0,thermalright-aqua-elite-argb-v4
Lian Li Hydroshift LCD 360S,179.99,"200,2500",29.8,White,360.0,lian-li-hydroshift-lcd-360s
ID-COOLING SE-903-XT,14.99,"500,2200",25.8,Black,,id-cooling-se-903-xt
Cooler Master Hyper 212 (2023),25.99,"690,2500",32.8,Black,,cooler-master-hyper-212-2023
Lian Li Hydroshift LCD 360S,174.49,"200,2500",29.8,Black,360.0,lian-li-hydroshift-lcd-360s
Cooler Master Hyper 212 Spectrum V3,16.98,"650,1750",27.2,Black / Silver,,cooler-master-hyper-212-spectrum-v3
Noctua NH-L9A-AM5 CHROMAX.BLACK,59.95,"600,2500","14.8,23.6",Black,,nh-l9a-am5-chromax-black
NZXT Kraken 240 RGB,114.99,"500,1800","17.9,30.6",White,240.0,kraken-240-rgb
Corsair NAUTILUS 240 RS ARGB,99.99,2100,34,Black,240.0,nautilus-240-rs-argb
NZXT Kraken Elite 360 RGB (2024),289.99,"500,2400",30,White,360.0,kraken-elite-360-rgb-2024
Thermalright AXP90-X47,22.39,2700,22.4,Black,,thermalright-axp90-x47
MSI MAG CORELIQUID A13,109.99,,,Black,360.0,msi-mag-coreliquid-a13
Corsair iCUE LINK TITAN 360 RX RGB,199.95,"300,2100",,Black,360.0,icue-link-titan-360-rx-rgb
Thermalright Assassin Spirit 120 EVO,25.39,2000,28.2,Black,,thermalright-assassin-spirit-120-evo
Noctua NH-U12A chromax.black,139.94,"450,2000","18.8,22.6",Black,,nh-u12a-chromax-black
TRYX PANORAMA SE ARGB,279.99,"500,1850",,Black,360.0,tryx-panorama-se-argb
Thermalright Assassin Spirit 120 EVO DARK,25.9,1850,27,Black,,thermalright-assassin-spirit-120-evo-dark
NZXT Kraken Elite 360 RGB,299.99,"500,1800","17.9,30.6",Black,360.0,kraken-elite-360-rgb
Thermalright Peerless Assassin 120 Black,48.69,1550,25.6,Black,,thermalright-peerless-assassin-120-black
Corsair iCUE LINK TITAN 360 RX LCD,219.99,"300,2100","10,36",White,360.0,icue-link-titan-360-rx-lcd
Noctua NH-U12S chromax.black,99.95,"300,1500","18.6,22.4",Black,,nh-u12s-chromax-black
Thermalright Assassin X 120 R Digital ARGB,24.9,2000,29.8,Black,,thermalright-assassin-x-120-r-digital-argb
Thermalright Peerless Assassin 120 White,47.59,1550,25.6,White,,thermalright-peerless-assassin-120-white
Lian Li Galahad II Trinity SL-INF,179.99,2100,29,White,360.0,lian-li-galahad-ii-trinity-sl-inf
TRYX PANORAMA SE ARGB,279.99,"500,1850",,White,360.0,tryx-panorama-se-argb
Noctua NH-D15 G2,179.95,1500,24.8,Brown / Silver,,nh-d15-g2
Corsair NAUTILUS 360 RS,104.99,2100,34,Black,360.0,nautilus-360-rs
ID-COOLING FROZN A410 BLACK,26.99,"500,2000",29.85,Black,,id-cooling-frozn-a410-black
be quiet! Dark Rock 5,72.9,2100,"11.9,29.8",Black,,be-quiet-dark-rock-5
NZXT Kraken Elite 360 (2024),269.99,"500,2000",30,Black,360.0,kraken-elite-360-2024
be quiet! Pure Rock 3,34.9,2000,"12.4,31.2",Black,,be-quiet-pure-rock-3
ARCTIC Liquid Freezer III 280,129.99,"200,1700",,Black,280.0,liquid-freezer-iii-280
Intel E97379-001,19.98,"1200,2800",22,Silver / Black,,intel-e97379-001
Noctua NH-D9L,84.95,"400,2000","16.3,22.8",,,nh-d9l
ARCTIC Liquid Freezer III 240 A-RGB,119.91,"200,2000",,Black,240.0,liquid-freezer-iii-240-a-rgb
Noctua NH-L12S,74.95,"450,1850","16.8,23.9",,,nh-l12s
Thermalright Assassin X Refined SE RGB V2,17.29,1550,25.6,Black / Silver,,thermalright-assassin-x-refined-se-rgb-v2
ID-COOLING SE-214-XT ARGB,17.98,"500,1500","13.8,30.5",White,,id-cooling-se-214-xt-argb
ARCTIC Liquid Freezer III 420 A-RGB,159.99,"200,1900",,Black,420.0,liquid-freezer-iii-420-a-rgb
NZXT Kraken 240 RGB,119.99,"500,1800","17.9,30.6",Black,240.0,kraken-240-rgb
Montech HyperFlow ARGB 360,97.99,2200,29.1,Black,360.0,montech-hyperflow-argb-360
Lian Li Galahad II LCD SL-INF,259.99,,29,Black,360.0,lian-li-galahad-ii-lcd-sl-inf
Noctua NH-D15S chromax.black,129.94,"300,1500","19.2,24.6",Black,,nh-d15s-chromax-black
Thermalright AQUA ELITE ARGB V4,52.19,1550,25.6,White,360.0,thermalright-aqua-elite-argb-v4
Thermalright Peerless Assassin 120 SE V3,34.9,2000,29.8,Black / Silver,,thermalright-peerless-assassin-120-se-v3
NZXT Kraken Elite RGB (2025),334.99,"500,2000",34.5,Black,420.0,kraken-elite-rgb-2025
Cooler Master Hyper 212 RGB Black Edition,27.88,"650,2000","8,30",Black,,cooler-master-hyper-212-rgb-black-edition
Thermalright Frozen Notte ARGB,48.9,2000,27.7,White,240.0,thermalright-frozen-notte-argb
Thermalright Assassin X 120 R Digital ARGB,24.9,2000,29.8,White,,thermalright-assassin-x-120-r-digital-argb
ARCTIC Liquid Freezer III 360,200.0,"200,1800",,Black,360.0,liquid-freezer-iii-360
Thermalright AXP90-X47,40.9,2700,22.4,Orange / Brown,,thermalright-axp90-x47
be quiet! Pure Rock Pro 3,54.9,2000,"14,34.8",Black,,be-quiet-pure-rock-pro-3
TRYX PANORAMA ARGB (2025),358.44,"500,1850",28.87,Black,360.0,tryx-panorama-argb-2025
be quiet! Silent Loop 3,154.94,2500,"19.8,38.8",Black,360.0,be-quiet-silent-loop-3
Thermalright Assassin X Refined SE PLUS,19.79,1550,25.6,Black / Silver,,thermalright-assassin-x-refined-se-plus
ARCTIC Alpine 23,11.89,"100,2000",,White / Black,,alpine-23
ID-COOLING FX360 PRO,59.99,"500,1800",35.2,Black,360.0,id-cooling-fx360-pro
Thermalright Frozen Notte ARGB,47.29,2000,27.7,Black,240.0,thermalright-frozen-notte-argb
Thermalright Frozen Warframe ARGB,81.09,2000,22.1,Black,360.0,thermalright-frozen-warframe-argb
Cooler Master MASTERLIQUID ML240L RGB V2,86.62,"650,1800","6,27",Black,240.0,cooler-master-masterliquid-ml240l-rgb-v2
Corsair iCUE LINK H100i RGB,119.99,"480,2400",,Black,240.0,icue-link-h100i-rgb
Thermalright Frozen Infinity 360 ARGB,52.59,2000,28.2,White,360.0,thermalright-frozen-infinity-360-argb
Thermalright Peerless Assassin 120 SE,36.59,1550,25.6,Black,,thermalright-peerless-assassin-120-se
NZXT Kraken Elite 360 RGB (2024),289.99,"500,2400",30,Black,360.0,kraken-elite-360-rgb-2024
Thermalright Phantom Spirit,37.9,1500,25.6,Black / Silver,,thermalright-phantom-spirit
Noctua NH-U12S redux,54.95,"450,1700",25.1,Gray / Silver,,nh-u12s-redux
Thermalright AXP90-X53 FULL,35.9,2700,22.4,Copper / Orange,,thermalright-axp90-x53-full
Corsair NAUTILUS 240 RS,89.99,2100,34,Black,240.0,nautilus-240-rs
Thermalright Aqua Elite V3,44.9,1500,25.6,White,240.0,thermalright-aqua-elite-v3
be quiet! Pure Rock Slim 2,36.77,,"13.1,25.4",Black / Silver,,be-quiet-pure-rock-slim-2
Thermalright Peerless Assassin 120 Digital ARGB,45.9,1850,25.6,Black,,thermalright-peerless-assassin-120-digital-argb
Vetroo V5,29.99,"800,1700",30.8,Black,,vetroo-v5
Noctua NH-D15 G2 LBC,179.95,1500,24.8,Brown / Silver,,nh-d15-g2-lbc
Noctua NH-U9S chromax.black,74.95,"400,2000","16.3,22.8",Black,,nh-u9s-chromax-black
Thermalright Assassin X Refined SE,17.89,1550,25.6,White / Silver,,thermalright-assassin-x-refined-se
ARCTIC Freezer 36 A-RGB,48.37,"200,2000",,Black,,freezer-36-a-rgb
TRYX PANORAMA ARGB (2025),359.95,"500,1850",28.87,White,360.0,tryx-panorama-argb-2025
Asus ROG Ryujin III ARGB Extreme,389.99,"1,2800",36,White,360.0,asus-rog-ryujin-iii-argb-extreme
ARCTIC Liquid Freezer III 420,190.0,"200,1700",,Black,420.0,liquid-freezer-iii-420
Thermalright AXP90-X47,21.9,2700,22.4,White,,thermalright-axp90-x47
Thermalright Peerless Assassin 140,43.29,1500,25.6,White,,thermalright-peerless-assassin-140
Thermalright AQUA ELITE ARGB V4,43.99,1550,25.6,White,240.0,thermalright-aqua-elite-argb-v4
Cooler Master Hyper 212 Halo,28.99,"650,2050",27,Black,,cooler-master-hyper-212-halo
Corsair iCUE H150i ELITE CAPELLIX XT,368.0,"550,2100",,White,360.0,icue-h150i-elite-capellix-xt
Noctua NH-L9a-AM4,49.95,"600,2500","14.8,23.6",Brown,,nh-l9a-am4
be quiet! Pure Rock 2 Black,49.9,1500,"19.1,26.8",Black,,be-quiet-pure-rock-2-black
Lian Li Galahad II LCD SL-INF,249.99,,29,White,360.0,lian-li-galahad-ii-lcd-sl-inf
Noctua NH-U12A,129.9,"450,2000","18.8,22.6",Brown,,nh-u12a
Thermalright Peerless Assassin MINI,37.39,1500,25.6,Black,,thermalright-peerless-assassin-mini
Thermalright Frozen Prism ARGB,52.39,1850,27,White,360.0,thermalright-frozen-prism-argb
MSI MAG CORELIQUID A13,79.99,,,Black,240.0,msi-mag-coreliquid-a13
NZXT Kraken 280,139.99,"500,1500","19.4,32.1",Black,280.0,kraken-280
Thermalright Frozen Prism,56.89,1850,27,Black,360.0,thermalright-frozen-prism
Thermalright Frozen Warframe ARGB,81.09,2000,22.1,White,360.0,thermalright-frozen-warframe-argb
Thermalright AXP120-X67,29.9,1800,26.1,Gray,,thermalright-axp120-x67
Iceberg Thermal IceFLOE T95,9.99,"1000,2200",32.3,Teal / Silver,,iceberg-thermal-icefloe-t95
Thermalright Aqua Elite V3,34.59,1500,25.6,Black,120.0,thermalright-aqua-elite-v3
ID-COOLING FX240 PRO,54.99,"500,1800",35.2,Black,240.0,id-cooling-fx240-pro
Asus ProArt LC 420,349.99,"800,2000",31.5,Black,420.0,asus-proart-lc-420
ARCTIC Freezer 36,37.71,"200,1800",,Black / Silver,,freezer-36
Thermalright Phantom Spirit SE,37.9,1500,25.6,Black,,thermalright-phantom-spirit-se
Thermalright Burst Assassin 120 SE ARGB,23.39,1550,25.6,Black / Silver,,thermalright-burst-assassin-120-se-argb
Noctua NH-L9i chromax.black,59.95,"600,2500","14.8,23.6",Black,,nh-l9i-chromax-black
ID-COOLING FX360 INF,69.98,"300,2000",27.2,Black,360.0,id-cooling-fx360-inf
Vetroo V240,49.88,"800,1800",30.8,Black,240.0,vetroo-v240
Corsair iCUE LINK TITAN 360 RX RGB,179.99,"300,2100",,White,360.0,icue-link-titan-360-rx-rgb
Thermalright Peerless Assassin 90 SE,23.39,2200,23.85,Black,,thermalright-peerless-assassin-90-se
Thermalright Frozen Edge,44.9,2150,28.1,Black,240.0,thermalright-frozen-edge
be quiet! Pure Rock 2,42.99,1500,"19.1,26.8",Silver / Black,,be-quiet-pure-rock-2
Noctua NH-L9i-17xx chromax.black,59.95,"600,2500","14.8,23.6",Black,,nh-l9i-17xx-chromax-black
Cooler Master Hyper 212 Pro,27.88,"690,2500",32.8,Black,,cooler-master-hyper-212-pro
Asus ROG Ryujin III ARGB,894.0,"600,2200",36.45,Black,360.0,asus-rog-ryujin-iii-argb
ID-COOLING FROZN A620 BLACK,39.99,"500,2000",29.85,Black,,id-cooling-frozn-a620-black
Thermalright AXP90-X53,21.39,2700,22.4,Gray,,thermalright-axp90-x53
Cooler Master MasterLiquid 360L Core ARGB,80.01,"350,1750",27.2,White,360.0,cooler-master-masterliquid-360l-core-argb
ARCTIC Freezer 36 A-RGB,49.19,"200,2000",,White,,freezer-36-a-rgb
MSI MEG CORELIQUID S360,300.0,,22.7,Black,360.0,msi-meg-coreliquid-s360
ID-COOLING FROZN A410 SE,24.99,"300,1800",24.8,Black,,id-cooling-frozn-a410-se
Thermalright AXP90-X36,21.9,2700,22.4,Gray,,thermalright-axp90-x36
Thermalright Peerless Assassin 140,45.39,1500,25.6,Black,,thermalright-peerless-assassin-140
Lian Li Galahad II Lite RGB,99.99,"300,2500",34.8,Black,360.0,lian-li-galahad-ii-lite-rgb
Thermalright Assassin X 90 SE ARGB,18.89,2200,23.85,Black / Silver,,thermalright-assassin-x-90-se-argb
Phanteks Glacier One 360M25 G2,99.99,"350,2000",35.13,Black,360.0,phanteks-glacier-one-360m25-g2
be quiet! Silent Loop 3,158.0,1900,"19.4,34.3",Black,420.0,be-quiet-silent-loop-3
MSI MAG CORELIQUID A13,107.99,,,White,360.0,msi-mag-coreliquid-a13
Thermalright Burst Assassin 120 SE,21.69,1550,25.6,Black / Silver,,thermalright-burst-assassin-120-se
NZXT Kraken 120,89.09,"500,2000","21,36",Black,120.0,kraken-120
Gigabyte AORUS WATERFORCE II 360 ICE,129.99,"800,2300","12.8,36.9",White,360.0,gigabyte-aorus-waterforce-ii-360-ice
NZXT Kraken Elite RGB (2025),334.99,"500,2000",34.5,White,420.0,kraken-elite-rgb-2025
Asus ROG Ryujin III,299.99,"450,2000",29.7,Black,360.0,asus-rog-ryujin-iii
ARCTIC Liquid Freezer III 240 A-RGB,118.99,"200,2000",,White,240.0,liquid-freezer-iii-240-a-rgb
Cooler Master Hyper 212 EVO,120.72,"600,2000","9,36",,,cooler-master-hyper-212-evo
Thermalright Frozen Prism ARGB,56.9,1850,27,Black,360.0,thermalright-frozen-prism-argb
ID-COOLING SE-214-XT PLUS,19.98,"700,1800",35.2,Black / Silver,,id-cooling-se-214-xt-plus
Thermalright AQUA ELITE ARGB V4,45.49,1550,25.6,Black,240.0,thermalright-aqua-elite-argb-v4
Thermalright Assassin Spirit 120 EVO WHITE ARGB,22.9,1850,27,White,,thermalright-assassin-spirit-120-evo-white-argb
Thermaltake Gravity i2,12.78,1800,21.3,,,thermaltake-gravity-i2
Thermalright Frozen Edge,59.59,2150,28.1,Black,360.0,thermalright-frozen-edge
be quiet! Pure Loop 2 FX,149.99,,"8,34",Black,360.0,be-quiet-pure-loop-2-fx
ID-COOLING FROSTFLOW X,53.99,"800,1600","16.8,32.6",Black / Silver,280.0,id-cooling-frostflow-x
Thermalright Mjolnir Vision 360 ARGB,106.59,2150,27,White,360.0,thermalright-mjolnir-vision-360-argb
ARCTIC Liquid Freezer III 280 A-RGB,138.99,"200,1900",,Black,280.0,liquid-freezer-iii-280-a-rgb
Noctua NH-L9i,49.95,"600,2500","14.8,23.6",Brown,,nh-l9i
ID-COOLING FROZN A720 BLACK,69.98,"500,2000",33.5,Black,,id-cooling-frozn-a720-black
NZXT T120 RGB,32.99,"500,1800","17.2,27.5",Black,,t120-rgb
Thermalright Royal Knight 120,34.9,2150,29.4,Black,,thermalright-royal-knight-120
Noctua NH-D12L CHROMAX.BLACK,109.95,"450,2000","18.8,22.6",Black,,nh-d12l-chromax-black
Noctua NH-U9S,69.95,"400,2000","16.3,22.8",,,nh-u9s
Asus ROG RYUO III 360 ARGB,189.5,2200,36.45,Black,360.0,asus-rog-ryuo-iii-360-argb
Corsair NAUTILUS 240 RS ARGB,99.99,2100,34,White,240.0,nautilus-240-rs-argb
Thermalright Grand Vision ARGB,127.69,2150,29.4,Black,360.0,thermalright-grand-vision-argb
Thermalright Peerless Assassin 90 SE,23.29,2200,23.85,White / Silver,,thermalright-peerless-assassin-90-se
NZXT Kraken X53,229.99,"500,2000","21,36",Black,240.0,kraken-x53
ARCTIC Liquid Freezer III Pro A-RGB,78.48,"600,3000",,Black,240.0,liquid-freezer-iii-pro-a-rgb
Noctua NH-U12S,84.95,"300,1500","18.6,22.4",,,nh-u12s
Noctua NH-L9x65,69.95,"600,2500","14.8,23.6",,,nh-l9x65
NZXT Kraken Elite 240 (2024),169.99,"500,2000",30,Black,240.0,kraken-elite-240-2024
Thermalright Royal Pretor 130 BLACK,49.69,1750,28.3,Black,,thermalright-royal-pretor-130-black
be quiet! Light Loop,165.06,"1500,2900","17.2,36.8",Black,360.0,be-quiet-light-loop
Montech HyperFlow ARGB 360,99.9,2200,29.1,White,360.0,montech-hyperflow-argb-360
Asus Prime LC 360 ARGB,104.99,"600,2200",,Black,360.0,asus-prime-lc-360-argb
Thermalright Assassin X Refined SE RGB,18.89,1550,25.6,Black / Silver,,thermalright-assassin-x-refined-se-rgb
Cooler Master MasterLiquid 240 Atmos,98.04,"690,2500",27.2,Black,240.0,cooler-master-masterliquid-240-atmos
Noctua NH-L9a-AM4 chromax.black,69.98,"600,2500","14.8,23.6",Black,,nh-l9a-am4-chromax-black
Cooler Master MasterLiquid 120L Core,59.99,"650,1750",27.2,Black,120.0,cooler-master-masterliquid-120l-core
MSI MAG CORELIQUID 240R V2,109.99,"500,2000","14.3,34.3",Black,240.0,msi-mag-coreliquid-240r-v2
Vetroo V360,49.99,"800,1800",30.8,White / Gray,360.0,vetroo-v360
ID-COOLING FROSTFLOW X,49.49,"700,1800","18,35.2",,240.0,id-cooling-frostflow-x
Corsair iCUE LINK H150i RGB,239.99,"480,2400",,Black,360.0,icue-link-h150i-rgb
Thermalright AXP120-X67,28.59,1800,26.1,Black,,thermalright-axp120-x67
Thermaltake UX200 SE ARGB,29.99,"800,1800",25,Black,,thermaltake-ux200-se-argb
ARCTIC Freezer 34 eSports DUO,90.0,"200,2100",24.4,White / Black,,freezer-34-esports-duo
be quiet! Pure Rock LP,59.9,2500,,Black,,be-quiet-pure-rock-lp
ARCTIC Liquid Freezer III Pro,98.49,"400,2500",,Black,420.0,liquid-freezer-iii-pro
Thermalright Mjolnir Vision 360 ARGB,106.59,2150,27,Black,360.0,thermalright-mjolnir-vision-360-argb
Asus TUF Gaming LC II ARGB,199.0,"800,2000",29,Black,360.0,asus-tuf-gaming-lc-ii-argb
Cooler Master Hyper 212 Halo,33.0,"650,2050",27,White,,cooler-master-hyper-212-halo
Thermalright Frozen Infinity 240 ARGB,47.9,2000,28.2,Black,240.0,thermalright-frozen-infinity-240-argb
Thermalright Frozen Warframe PRO,74.9,2000,29.8,Black,360.0,thermalright-frozen-warframe-pro
NZXT Kraken X63,129.98,"500,2000","21,38",Black,280.0,kraken-x63
MSI MAG CORELIQUID E360,132.99,,,Black,360.0,msi-mag-coreliquid-e360
ARCTIC Liquid Freezer III 420 A-RGB,171.27,"200,1900",,White,420.0,liquid-freezer-iii-420-a-rgb
NZXT T120 RGB,34.99,"500,1800","17.2,27.5",White,,t120-rgb
MSI MPG CORELIQUID D360,925.87,,,Black,360.0,msi-mpg-coreliquid-d360
be quiet! Dark Rock Elite,109.9,"1500,2000","11,25.8",Black,,be-quiet-dark-rock-elite
Corsair iCUE H100i ELITE CAPELLIX XT,179.99,"550,2100","5,34.1",Black,240.0,icue-h100i-elite-capellix-xt
Noctua NH-D12L,99.95,"450,2000","18.8,22.6",Beige / Brown,,nh-d12l
Noctua NH-L12Sx77,79.95,"450,1850","16.8,23.9",Silver / Beige,,nh-l12sx77
Noctua NH-L9i-17xx,49.95,"600,2500","14.8,23.6",Brown / Beige,,nh-l9i-17xx
Thermalright Frozen Edge,54.9,2150,28.1,White,360.0,thermalright-frozen-edge
Thermaltake TH360 V2 ARGB Sync,129.99,"500,2000",25.8,Black,360.0,thermaltake-th360-v2-argb-sync
Cooler Master I30,12.99,2600,28,Black / Silver,,cooler-master-i30
Corsair iCUE LINK H115i RGB,119.99,"400,2000",,Black,280.0,icue-link-h115i-rgb
NZXT Kraken Elite 240 RGB (2024),199.99,"500,2400",30,Black,240.0,kraken-elite-240-rgb-2024
ARCTIC Liquid Freezer III 280 A-RGB,129.94,"200,1900",,White,280.0,liquid-freezer-iii-280-a-rgb
Thermalright AXP90-X47,21.9,2700,22.4,Gray,,thermalright-axp90-x47
be quiet! Pure Rock 2 FX,97.71,,"7.9,24.4",Black,,be-quiet-pure-rock-2-fx
Montech HyperFlow Silent 360,89.9,"800,2200",24.8,Black,360.0,montech-hyperflow-silent-360
Thermalright Core Vision ARGB,94.9,2000,27.7,White,360.0,thermalright-core-vision-argb
Scythe Fuma 3,54.99,"200,1500","4,28.6",Black / Silver,,scythe-fuma-3
Thermalright Peerless Assassin 120 Digital,42.59,1850,25.6,Black,,thermalright-peerless-assassin-120-digital
MSI MAG CORELIQUID A15,109.99,"500,2050",28.7,Black,360.0,msi-mag-coreliquid-a15
Corsair iCUE LINK H150i LCD,329.99,"480,2400",,White,360.0,icue-link-h150i-lcd
Corsair iCUE LINK TITAN 240 RX RGB,159.99,"300,2100",,Black,240.0,icue-link-titan-240-rx-rgb
Thermalright Frozen Warframe ULTRA ARGB,93.9,2000,22.1,White,360.0,thermalright-frozen-warframe-ultra-argb
Lian Li HydroShift LCD 360R RGB,199.9,"300,2400",30,Black,360.0,lian-li-hydroshift-lcd-360r-rgb
Noctua NH-D15S,119.95,"300,1500","19.2,24.6",,,nh-d15s
SAMA SM360 LCD,109.99,"800,1800",35.5,White,360.0,sama-sm360-lcd
Thermalright AXP120-X67,30.9,1800,26.1,White,,thermalright-axp120-x67
NZXT Kraken X73,289.99,"500,2000","21,36",Black,360.0,kraken-x73
ID-COOLING IS-67-XT,39.99,"500,2200",35.2,Black,,id-cooling-is-67-xt
ARCTIC Alpine 17 CO,12.99,"250,2700",,Black,,alpine-17-co
ID-COOLING FROZN A620 PRO SE ARGB,39.99,"300,2000",27.2,Black,,id-cooling-frozn-a620-pro-se-argb
Corsair iCUE LINK H100i RGB,119.99,"480,2400",,White,240.0,icue-link-h100i-rgb
