name,price,amount,slug
Arctic Silver 5 High-Density Polysynthetic Silver,7.95,3.5,arctic-silver-5-high-density-polysynthetic-silver
Thermal Grizzly Kryonaut,7.75,1.0,thermal-grizzly-kryonaut
ARCTIC MX-6,7.99,4.0,arctic-mx-6
Noctua NT-H2,14.95,3.5,noctua-nt-h2
Thermal Grizzly Kryonaut Extreme,21.99,2.0,thermal-grizzly-kryonaut-extreme
Prolimatech PK-Zero,135.24,300.0,prolimatech-pk-zero
Corsair TM30,7.88,3.0,corsair-tm30
ARCTIC MX-4 (2019),8.99,4.0,arctic-mx-4-2019
Arctic Silver Ceramique 2 Tri-Linear,3.85,2.7,arctic-silver-ceramique-2-tri-linear
Corsair XTM70,24.99,3.0,corsair-xtm70
Noctua NT-H1,8.94,3.5,noctua-nt-h1
ARCTIC MX-6,12.99,8.0,arctic-mx-6
Thermal Grizzly Duronaut,9.99,2.0,thermal-grizzly-duronaut
Thermal Grizzly Duronaut,18.75,6.0,thermal-grizzly-duronaut
Thermalright TF7,4.38,2.0,thermalright-tf7
ARCTIC MX-6,7.99,2.0,arctic-mx-6
Noctua NT-H2,,10.0,noctua-nt-h2
ARCTIC MX-4 w/ Spatula,7.99,8.0,arctic-mx-4-w-spatula
Thermal Grizzly Conductonaut Extreme,49.99,5.0,thermal-grizzly-conductonaut-extreme
Thermal Grizzly Kryonaut Extreme,99.99,33.84,thermal-grizzly-kryonaut-extreme
Prolimatech PK-Zero,,600.0,prolimatech-pk-zero
ARCTIC MX-4,,4.0,arctic-mx-4
ARCTIC MX-4 w/ Spatula,,4.0,arctic-mx-4-w-spatula
Thermal Hero QUANTUM,107.99,50.0,thermal-hero-quantum
Asus ROG RG-07 KIT,35.34,3.0,asus-rog-rg-07-kit
Corsair XTM50,14.99,5.0,corsair-xtm50
Thermal Grizzly Kryonaut,21.99,5.5,thermal-grizzly-kryonaut
Cooler Master CryoFuze,4.34,2.0,cooler-master-cryofuze
Asus ROG RG-07,8.99,3.0,asus-rog-rg-07
Thermal Grizzly Aeronaut,5.79,3.9,thermal-grizzly-aeronaut
Thermal Grizzly Conductonaut Extreme,16.75,1.0,thermal-grizzly-conductonaut-extreme
Thermal Grizzly Polartherm X-8,5.9,2.0,thermal-grizzly-polartherm-x-8
Arctic Silver 5 High-Density Polysynthetic Silver,25.99,12.0,arctic-silver-5-high-density-polysynthetic-silver
Thermal Grizzly Kryonaut,27.75,11.1,thermal-grizzly-kryonaut
KINGPINcooling KPx,8.98,1.0,kingpincooling-kpx
Thermalright TF9,4.88,1.5,thermalright-tf9
ARCTIC MX-2,,4.0,arctic-mx-2
ID-COOLING Frost X45,,4.0,id-cooling-frost-x45
Thermal Grizzly Hydronaut,10.75,3.9,thermal-grizzly-hydronaut
KINGPINcooling KPx,56.56,30.0,kingpincooling-kpx
KINGPINcooling KPx,28.55,10.0,kingpincooling-kpx
Prolimatech PK-3 Nano Aluminum High-Grade,39.99,30.0,prolimatech-pk-3-nano-aluminum-high-grade
Thermal Grizzly Conductonaut,10.75,1.0,thermal-grizzly-conductonaut
Gelid Solutions GC-Extreme,8.99,3.5,gelid-solutions-gc-extreme
ARCTIC MX-4 (2019),7.99,8.0,arctic-mx-4-2019
Zalman STC9,4.95,4.0,zalman-stc9
ARCTIC MX-4,36.5,20.0,arctic-mx-4
Thermalright TF9,6.09,2.9,thermalright-tf9
