brand,model,slug,name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,thread_count
AMD,9800X3D,9800x3d,AMD Ryzen 7 9800X3D,451.5,8,4.7,5.2,Zen 5,120,Radeon,16
AMD,7800X3D,7800x3d,AMD Ryzen 7 7800X3D,340.05,8,4.2,5.0,Zen 4,120,Radeon,16
AMD,7600X,7600x,AMD Ryzen 5 7600X,170.49,6,4.7,5.3,Zen 4,105,Radeon,12
AMD,9600X,9600x,AMD Ryzen 5 9600X,204.99,6,3.9,5.4,Zen 5,65,Radeon,12
AMD,7700X,7700x,AMD Ryzen 7 7700X,242.98,8,4.5,5.4,Zen 4,105,Radeon,16
AMD,9950X3D,9950x3d,AMD Ryzen 9 9950X3D,649.99,16,4.3,5.7,Zen 5,170,Radeon,32
AMD,5500,5500,AMD Ryzen 5 5500,74.22,6,3.6,4.2,Zen 3,65,,12
AMD,9700X,9700x,AMD Ryzen 7 9700X,305.89,8,3.8,5.5,Zen 5,65,Radeon,16
AMD,5600X,5600x,AMD Ryzen 5 5600X,158.99,6,3.7,4.6,Zen 3,65,,12
AMD,5600,5600,AMD Ryzen 5 5600,125.61,6,3.5,4.4,Zen 3,65,,12
AMD,5800X,5800x,AMD Ryzen 7 5800X,179.95,8,3.8,4.7,Zen 3,105,,16
Intel,i7-14700K,14700k,Intel Core i7-14700K,297.17,20,3.4,5.6,Raptor Lake Refresh,125,Intel UHD Graphics 770,40
Intel,i9-14900K,14900k,Intel Core i9-14900K,439.0,24,3.2,6.0,Raptor Lake Refresh,125,Intel UHD Graphics 770,48
AMD,7600,7600,AMD Ryzen 5 7600,196.97,6,3.8,5.1,Zen 4,65,Radeon,12
AMD,5700X,5700x,AMD Ryzen 7 5700X,154.99,8,3.4,4.6,Zen 3,65,,16
AMD,7900X,7900x,AMD Ryzen 9 7900X,314.11,12,4.7,5.6,Zen 4,170,Radeon,24
AMD,9900X,9900x,AMD Ryzen 9 9900X,359.0,12,4.4,5.6,Zen 5,120,Radeon,24
Intel,i5-14600K,14600k,Intel Core i5-14600K,189.99,14,3.5,5.3,Raptor Lake Refresh,125,Intel UHD Graphics 770,28
Intel,265K,265k,Intel Core Ultra 7 265K,269.99,20,3.9,5.5,Arrow Lake,125,Intel Xe,40
