brand,model,socket,name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,thread_count,userbenchmark_score,blender_score,power_consumption_overclocked,slug,slug
AMD,9800X3D,AM5,AMD Ryzen 7 9800X3D,451.5,8,4.7,5.2,Zen 5,120,Radeon,,123.0,334.43,155,9800x3d,9800x3d
AMD,7800X3D,AM5,AMD Ryzen 7 7800X3D,340.05,8,4.2,5.0,Zen 4,120,Radeon,,118.0,263.15,155,7800x3d,7800x3d
AMD,7600X,AM5,AMD Ryzen 5 7600X,170.49,6,4.7,5.3,Zen 4,105,Radeon,,110.0,202.69,140,7600x,7600x
AMD,9600X,AM5,AMD Ryzen 5 9600X,204.99,6,3.9,5.4,Zen 5,65,Radeon,,114.0,270.42,100,9600x,9600x
AMD,7700X,AM5,AMD Ryzen 7 7700X,242.98,8,4.5,5.4,Zen 4,105,Radeon,,112.0,279.74,140,7700x,7700x
AMD,9950X3D,AM5,AMD Ryzen 9 9950X3D,649.99,16,4.3,5.7,Zen 5,170,Radeon,,120.0,675.12,205,9950x3d,9950x3d
AMD,5500,AM4,AMD Ryzen 5 5500,74.22,6,3.6,4.2,Zen 3,65,,,47.9,137.63,100,5500,5500
AMD,9700X,AM5,AMD Ryzen 7 9700X,305.89,8,3.8,5.5,Zen 5,65,Radeon,,116.0,312.34,100,9700x,9700x
AMD,5600X,AM4,AMD Ryzen 5 5600X,158.99,6,3.7,4.6,Zen 3,65,,,95.9,155.87,100,5600x,5600x
AMD,5600,AM4,AMD Ryzen 5 5600,125.61,6,3.5,4.4,Zen 3,65,,,38.6,150.18,100,5600,5600
AMD,5800X,AM4,AMD Ryzen 7 5800X,179.95,8,3.8,4.7,Zen 3,105,,,97.9,204.73,140,5800x,5800x
Intel,i7-14700K,LGA1700,Intel Core i7-14700K,297.17,20,3.4,5.6,Raptor Lake Refresh,125,Intel UHD Graphics 770,,,,200,i7-14700-k,i7-14700-k
Intel,i9-14900K,LGA1700,Intel Core i9-14900K,439.0,24,3.2,6.0,Raptor Lake Refresh,125,Intel UHD Graphics 770,,,,200,i9-14900-k,i9-14900-k
AMD,7600,AM5,AMD Ryzen 5 7600,196.97,6,3.8,5.1,Zen 4,65,Radeon,,41.9,198.03,100,7600,7600
AMD,5700X,AM4,AMD Ryzen 7 5700X,154.99,8,3.4,4.6,Zen 3,65,,,96.0,241.89,100,5700x,5700x
AMD,7900X,AM5,AMD Ryzen 9 7900X,314.11,12,4.7,5.6,Zen 4,170,Radeon,,113.0,414.99,205,7900x,7900x
AMD,9900X,AM5,AMD Ryzen 9 9900X,359.0,12,4.4,5.6,Zen 5,120,Radeon,,117.0,468.75,155,9900x,9900x
Intel,i5-14600K,LGA1700,Intel Core i5-14600K,189.99,14,3.5,5.3,Raptor Lake Refresh,125,Intel UHD Graphics 770,,,,200,i5-14600-k,i5-14600-k
Intel,265K,LGA1851,Intel Core Ultra 7 265K,269.99,20,3.9,5.5,Arrow Lake,125,Intel Xe,,,,200,265k,265k
AMD,5700X3D,AM4,AMD Ryzen 7 5700X3D,313.3,8,3.0,4.1,Zen 3,105,,,97.0,190.89,140,5700x3d,5700x3d
