name,price,socket,form_factor,max_memory,memory_slots,color,slug
Asus PRIME B650-PLUS WIFI,159.99,AM5,ATX,192,4,Black / Silver,prime-b650-plus-wifi
MSI B650 GAMING PLUS WIFI,169.99,AM5,ATX,192,4,Black,b650-gaming-plus-wifi
MSI MAG B650 TOMAHAWK WIFI,189.42,AM5,ATX,256,4,Black,mag-b650-tomahawk-wifi
Gigabyte X870E AORUS ELITE WIFI7,325.31,AM5,ATX,256,4,Black,x870e-aorus-elite-wifi7
Asus PRIME B550M-A WIFI II,99.99,AM4,Micro ATX,128,4,Blue / Silver,prime-b550m-a-wifi-ii
Gigabyte B650 EAGLE AX,157.99,AM5,ATX,192,4,Gray / Black,b650-eagle-ax
Asus TUF GAMING B850-PLUS WIFI,217.99,AM5,ATX,192,4,Black / Silver,tuf-gaming-b850-plus-wifi
ASRock B650M Pro RS WiFi,139.99,AM5,Micro ATX,256,4,Black / Silver,b650m-pro-rs-wifi
MSI MAG X870 TOMAHAWK WIFI,269.99,AM5,ATX,256,4,Black,mag-x870-tomahawk-wifi
Gigabyte A520M K V2,68.47,AM4,Micro ATX,64,2,Brown / Black,a520m-k-v2
Asus B650E MAX GAMING WIFI W,149.99,AM5,ATX,256,4,White,b650e-max-gaming-wifi-w
MSI PRO B650-S WIFI,135.99,AM5,ATX,192,4,Black,pro-b650-s-wifi
Gigabyte B550M K,99.99,AM4,Micro ATX,128,4,Brown / Silver,b550m-k
ASRock B850I Lightning WiFi,253.44,AM5,Mini ITX,128,2,Black,b850i-lightning-wifi
MSI B760 GAMING PLUS WIFI,169.99,LGA1700,ATX,192,4,Black / Silver,b760-gaming-plus-wifi
MSI PRO B550M-VC WIFI,99.99,AM4,Micro ATX,128,4,Black,pro-b550m-vc-wifi
MSI PRO Z790-A MAX WIFI,220.0,LGA1700,ATX,192,4,Silver / Black,pro-z790-a-max-wifi
Asus TUF GAMING B650-PLUS WIFI,159.99,AM5,ATX,128,4,Black,tuf-gaming-b650-plus-wifi
Gigabyte X870 EAGLE WIFI7,229.99,AM5,ATX,256,4,Black,x870-eagle-wifi7
Gigabyte X870 AORUS ELITE WIFI7 ICE,299.99,AM5,ATX,256,4,White,x870-aorus-elite-wifi7-ice
MSI B550M PRO-VDH WIFI,109.99,AM4,Micro ATX,128,4,Black,b550m-pro-vdh-wifi
Asus ROG STRIX X870E-E GAMING WIFI,478.01,AM5,ATX,192,4,Black,rog-strix-x870e-e-gaming-wifi
ASRock B850M-X WiFi R2.0,129.99,AM5,Micro ATX,128,2,Black / White,b850m-x-wifi-r2-0
Gigabyte B850 EAGLE WIFI6E,179.99,AM5,ATX,256,4,Gray / Black,b850-eagle-wifi6e
MSI MAG B850 TOMAHAWK MAX WIFI,219.99,AM5,ATX,256,4,Black / Green,mag-b850-tomahawk-max-wifi
Gigabyte B760M GAMING PLUS WIFI DDR4,139.49,LGA1700,Micro ATX,128,4,Black / Silver,b760m-gaming-plus-wifi-ddr4
Asus ROG STRIX B650-A GAMING WIFI,164.95,AM5,ATX,192,4,Black / Silver,rog-strix-b650-a-gaming-wifi
Gigabyte B650M GAMING PLUS WIFI,159.94,AM5,Micro ATX,192,4,Silver / Black,b650m-gaming-plus-wifi
MSI MAG B550 TOMAHAWK MAX WIFI,169.99,AM4,ATX,128,4,Silver / Black,mag-b550-tomahawk-max-wifi
Gigabyte B850 AORUS ELITE WIFI7,232.67,AM5,ATX,256,4,Black,b850-aorus-elite-wifi7
Gigabyte B650 GAMING X AX V2,184.49,AM5,ATX,192,4,Gray / Black,b650-gaming-x-ax-v2
Asus ROG STRIX X870-A GAMING WIFI,318.99,AM5,ATX,192,4,White,rog-strix-x870-a-gaming-wifi
ASRock A620I LIGHTNING WIFI,159.99,AM5,Mini ITX,96,2,Black,a620i-lightning-wifi
Asus TUF GAMING B550-PLUS WIFI II,148.99,AM4,ATX,128,4,Black / Gray,tuf-gaming-b550-plus-wifi-ii
Asus TUF GAMING B650-E WIFI,199.99,AM5,ATX,192,4,Black / Orange,tuf-gaming-b650-e-wifi
Gigabyte Z790 EAGLE AX,169.99,LGA1700,ATX,192,4,Gray / Black,z790-eagle-ax
MSI B450M-A PRO MAX II,97.09,AM4,Micro ATX,64,2,Black,b450m-a-pro-max-ii
MSI PRO B650M-P,149.99,AM5,Micro ATX,192,4,Black / Silver,pro-b650m-p
ASRock B450M/ac R2.0,74.99,AM4,Micro ATX,128,4,Black / Silver,b450m-ac-r2-0
Asus TUF GAMING B850M-PLUS WIFI,219.99,AM5,Micro ATX,192,4,Black,tuf-gaming-b850m-plus-wifi
ASRock B450M-HDV R4.0,69.98,AM4,Micro ATX,64,2,Black / White,b450m-hdv-r4-0
Gigabyte B850 AORUS ELITE WIFI7 ICE,239.99,AM5,ATX,256,4,White / Silver,b850-aorus-elite-wifi7-ice
MSI PRO B760M-P DDR4,99.99,LGA1700,Micro ATX,128,4,Black,pro-b760m-p-ddr4
Asus ROG STRIX B550-F GAMING WIFI II,169.99,AM4,ATX,128,4,Black / Red,rog-strix-b550-f-gaming-wifi-ii
Gigabyte B850M GAMING X WIFI6E,159.99,AM5,Micro ATX,256,4,Black,b850m-gaming-x-wifi6e
Asus ROG CROSSHAIR X870E HERO,649.99,AM5,ATX,192,4,Black,rog-crosshair-x870e-hero
Gigabyte A520I AC,99.99,AM4,Mini ITX,64,2,Black,a520i-ac
Gigabyte B550M AORUS ELITE AX,149.99,AM4,Micro ATX,128,4,Black / Silver,b550m-aorus-elite-ax
ASRock B850M Pro-A WiFi,140.98,AM5,Micro ATX,256,4,Black,b850m-pro-a-wifi
ASRock B650M PG Lightning Wifi,191.66,AM5,Micro ATX,256,4,Silver / Black,b650m-pg-lightning-wifi
MSI MPG B550 GAMING PLUS,104.99,AM4,ATX,128,4,Black,mpg-b550-gaming-plus
MSI A520M-A PRO,67.62,AM4,Micro ATX,64,2,Black,a520m-a-pro
MSI PRO B650M-A WIFI,145.99,AM5,Micro ATX,192,4,Black,pro-b650m-a-wifi
Asus ROG STRIX B650E-F GAMING WIFI,254.25,AM5,ATX,192,4,Black,rog-strix-b650e-f-gaming-wifi
Asus ROG STRIX B850-A GAMING WIFI,239.0,AM5,ATX,192,4,White,rog-strix-b850-a-gaming-wifi
ASRock B550M Pro4,99.99,AM4,Micro ATX,128,4,Silver / Black,b550m-pro4
MSI MAG X670E TOMAHAWK WIFI,248.71,AM5,ATX,192,4,Black,mag-x670e-tomahawk-wifi
Asus ROG STRIX B850-I GAMING WIFI,299.99,AM5,Mini ITX,96,2,Black,rog-strix-b850-i-gaming-wifi
Asus ROG STRIX B650E-I GAMING WIFI,219.95,AM5,Mini ITX,96,2,Black,rog-strix-b650e-i-gaming-wifi
MSI MPG X870E CARBON WIFI,499.99,AM5,ATX,256,4,Black,mpg-x870e-carbon-wifi
Gigabyte B850 GAMING WIFI6,179.99,AM5,ATX,256,4,Black / Gray,b850-gaming-wifi6
MSI B850 GAMING PLUS WIFI,199.99,AM5,ATX,256,4,Silver / Black,b850-gaming-plus-wifi
Asus TUF GAMING X870-PLUS WIFI,266.99,AM5,ATX,192,4,Black,tuf-gaming-x870-plus-wifi
Gigabyte Z790 AORUS ELITE AX,184.99,LGA1700,ATX,192,4,Black,z790-aorus-elite-ax
MSI B550-A PRO,125.99,AM4,ATX,128,4,Black / Silver,b550-a-pro
Asus ROG CROSSHAIR X870E EXTREME,999.99,AM5,EATX,256,4,Black / Silver,rog-crosshair-x870e-extreme
ASRock B850M Pro RS WiFi,149.99,AM5,Micro ATX,256,4,Silver / Black,b850m-pro-rs-wifi
Asus TUF GAMING Z790-PLUS WIFI,219.99,LGA1700,ATX,192,4,Black / Gray,tuf-gaming-z790-plus-wifi
Gigabyte X870E AORUS PRO ICE,329.99,AM5,ATX,256,4,White,x870e-aorus-pro-ice
Gigabyte B650 AORUS ELITE AX,185.99,AM5,ATX,192,4,Black / Silver,b650-aorus-elite-ax
Gigabyte A620I AX,138.0,AM5,Mini ITX,96,2,Black / Gray,a620i-ax
Gigabyte X870I AORUS PRO ICE,284.99,AM5,Mini ITX,128,2,White,x870i-aorus-pro-ice
MSI B650M GAMING PLUS WIFI,219.51,AM5,Micro ATX,192,4,Silver / Black,b650m-gaming-plus-wifi
Asus ROG STRIX B850-F GAMING WIFI,269.18,AM5,ATX,192,4,Black,rog-strix-b850-f-gaming-wifi
ASRock X870 Pro RS,179.99,AM5,ATX,256,4,White,x870-pro-rs
MSI PRO A620M-E,154.9,AM5,Micro ATX,96,2,Black,pro-a620m-e
Asus TUF GAMING B650E-PLUS WIFI,189.99,AM5,ATX,256,4,Black / Silver,tuf-gaming-b650e-plus-wifi
Gigabyte B850 GAMING X WIFI6E,197.99,AM5,ATX,256,4,Gray / Black,b850-gaming-x-wifi6e
Gigabyte B550 GAMING X V2,129.99,AM4,ATX,128,4,Black,b550-gaming-x-v2
ASRock B650M-HDV/M.2,138.63,AM5,Micro ATX,96,2,Silver / Black,b650m-hdv-m-2
Asus Z790 GAMING WIFI7,179.99,LGA1700,ATX,192,4,Silver / Black,z790-gaming-wifi7
MSI MAG X870E TOMAHAWK WIFI,309.99,AM5,ATX,256,4,Black / Green,mag-x870e-tomahawk-wifi
Gigabyte B550 EAGLE WIFI6,129.99,AM4,ATX,128,4,Black,b550-eagle-wifi6
MSI PRO H610M-G DDR4,93.99,LGA1700,Micro ATX,64,2,Black / Silver,pro-h610m-g-ddr4
MSI MEG X870E GODLIKE,999.99,AM5,EATX,256,4,Black,meg-x870e-godlike
ASRock X870 Pro RS WiFi,240.99,AM5,ATX,256,4,White,x870-pro-rs-wifi
Gigabyte B850M AORUS ELITE WIFI6E ICE,199.99,AM5,Micro ATX,256,4,White / Silver,b850m-aorus-elite-wifi6e-ice
ASRock B760M-HDV/M.2,119.32,LGA1700,Micro ATX,96,2,White / Black,b760m-hdv-m-2
ASRock A520M-HDV,62.99,AM4,Micro ATX,64,2,Black / Silver,a520m-hdv
ASRock B550 Phantom Gaming 4/ac,99.99,AM4,ATX,128,4,Silver / Black,b550-phantom-gaming-4-ac
Gigabyte X870 AORUS ELITE WIFI7,262.0,AM5,ATX,256,4,Black,x870-aorus-elite-wifi7
Asus ROG STRIX B760-I GAMING WIFI,209.95,LGA1700,Mini ITX,96,2,Black,rog-strix-b760-i-gaming-wifi
Gigabyte X870 GAMING WIFI6,189.99,AM5,ATX,256,4,Black / Gray,x870-gaming-wifi6
ASRock A620M-HDV/M.2,129.14,AM5,Micro ATX,96,2,Gray / Black,a620m-hdv-m-2
MSI MAG Z890 TOMAHAWK WIFI,239.99,LGA1851,ATX,256,4,Black / Yellow,mag-z890-tomahawk-wifi
Asus ProArt X870E-CREATOR WIFI,517.99,AM5,ATX,256,4,Black / Gold,proart-x870e-creator-wifi
ASRock B650 PG LIGHTNING,129.99,AM5,ATX,256,4,Black,b650-pg-lightning
MSI MAG B550 TOMAHAWK,139.99,AM4,ATX,128,4,Black / Silver,mag-b550-tomahawk
MSI MAG B760 TOMAHAWK WIFI,164.99,LGA1700,ATX,192,4,Black,mag-b760-tomahawk-wifi
Gigabyte B550 UD AC,119.99,AM4,ATX,128,4,Brown / Black,b550-ud-ac
Gigabyte B650M D3HP AX,139.99,AM5,Micro ATX,192,4,Black / Gray,b650m-d3hp-ax
