name,price,type,efficiency,wattage,modular,color,brand,slug
MAG A750GL PCIE5,109.99,ATX,gold,750,Full,Black,MSI,msi-mag-a750gl-pcie5-750-gold
MAG A850GL PCIE5,121.99,ATX,gold,850,Full,Black,MSI,msi-mag-a850gl-pcie5-850-gold
MAG A650BN,74.98,ATX,bronze,650,Non-modular,Black,MSI,msi-mag-a650bn-650-bronze
RM1000e (2023),179.99,ATX,gold,1000,Full,Black,Corsair,corsair-rm1000e-2023-1000-gold
RM750e (2025),99.99,ATX,,750,Full,Black,Corsair,corsair-rm750e-2025-750-nan
RM850e (2025),119.99,ATX,,850,Full,Black,Corsair,corsair-rm850e-2025-850-nan
MAG A550BN,54.99,ATX,bronze,550,Non-modular,Black,MSI,msi-mag-a550bn-550-bronze
RM850x (2024),144.99,ATX,,850,Full,Black,Corsair,corsair-rm850x-2024-850-nan
SF1000 (2024),239.99,SFX,platinum,1000,Full,Black,Corsair,corsair-sf1000-2024-1000-platinum
MAG A650GL,129.94,ATX,gold,650,Full,Black,MSI,msi-mag-a650gl-650-gold
Master MWE Gold 850 - V2,89.99,ATX,gold,850,Full,Black,Cooler,cooler-master-mwe-gold-850-v2-850-gold
Smart,39.95,ATX,plus,500,Non-modular,,Thermaltake,thermaltake-smart-500-plus
SF750 (2024),179.99,SFX,platinum,750,Full,Black,Corsair,corsair-sf750-2024-750-platinum
CENTURY II,89.9,ATX,gold,850,Full,Black,Montech,montech-century-ii-850-gold
RM1000x (2024),209.95,ATX,,1000,Full,Black,Corsair,corsair-rm1000x-2024-1000-nan
CX (2023),69.98,ATX,bronze,650,Non-modular,Black,Corsair,corsair-cx-2023-650-bronze
ROG THOR 1600T Gaming,986.98,ATX,titanium,1600,Full,Silver / Black,Asus,asus-rog-thor-1600t-gaming-1600-titanium
quiet! Pure Power 12 M,124.9,ATX,gold,850,Full,Black,be,be-quiet-pure-power-12-m-850-gold
MAG A850GL PCIE5,132.99,ATX,gold,850,Full,White,MSI,msi-mag-a850gl-pcie5-850-gold
RM850,124.99,ATX,gold,850,Full,White / Black,Corsair,corsair-rm850-850-gold
Smart,44.99,ATX,plus,600,Non-modular,,Thermaltake,thermaltake-smart-600-plus
SF850 (2024),194.99,SFX,platinum,850,Full,Black,Corsair,corsair-sf850-2024-850-platinum
RM1000e (2025),159.99,ATX,,1000,Full,Black,Corsair,corsair-rm1000e-2025-1000-nan
RM650e (2025),104.99,ATX,,650,Full,Black,Corsair,corsair-rm650e-2025-650-nan
quiet! Pure Power 12 M,98.9,ATX,gold,750,Full,Black,be,be-quiet-pure-power-12-m-750-gold
Toughpower GX2,69.98,ATX,gold,600,Non-modular,Black,Thermaltake,thermaltake-toughpower-gx2-600-gold
Li EDGE,182.28,ATX,platinum,1000,Full,White,Lian,lian-li-edge-1000-platinum
Galaxy,54.99,ATX,gold,650,Semi,Black,Apevia,apevia-galaxy-650-gold
Toughpower GF1 (2024),103.99,ATX,gold,850,Full,Black,Thermaltake,thermaltake-toughpower-gf1-2024-850-gold
