name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_generation,frequency_mhz,slug,capacity_gb,Benchmark
Corsair Vengeance RGB Pro 16 GB,54.99,2,3.437,Black,10.0,16.0,DDR4,3200,corsair-vengeance-rgb-pro-ddr4-3200,16,88.5
Corsair Vengeance RGB Pro 16 GB,54.99,2,3.437,Black,10.0,16.0,DDR4,3200,corsair-vengeance-rgb-pro-ddr4-3200,16,80.5
Corsair Vengeance RGB Pro 16 GB,97.91,2,6.119,White,10.0,16.0,DDR4,3200,corsair-vengeance-rgb-pro-ddr4-3200,16,88.5
Corsair Vengeance RGB Pro 16 GB,97.91,2,6.119,White,10.0,16.0,DDR4,3200,corsair-vengeance-rgb-pro-ddr4-3200,16,80.5
Corsair Vengeance RGB Pro 32 GB,82.99,2,2.593,Black,10.0,16.0,DDR4,3200,corsair-vengeance-rgb-pro-ddr4-3200,32,88.5
Corsair Vengeance RGB Pro 32 GB,82.99,2,2.593,Black,10.0,16.0,DDR4,3200,corsair-vengeance-rgb-pro-ddr4-3200,32,80.5
Corsair Vengeance RGB Pro 32 GB,142.99,2,4.468,White,10.0,16.0,DDR4,3200,corsair-vengeance-rgb-pro-ddr4-3200,32,88.5
Corsair Vengeance RGB Pro 32 GB,142.99,2,4.468,White,10.0,16.0,DDR4,3200,corsair-vengeance-rgb-pro-ddr4-3200,32,80.5
G.Skill Trident Z RGB 32 GB,105.53,2,3.298,Black,10.0,16.0,DDR4,3200,g-skill-trident-z-rgb-ddr4-3200,32,84.3
G.Skill Trident Z RGB 16 GB,54.99,2,3.437,Black,10.0,16.0,DDR4,3200,g-skill-trident-z-rgb-ddr4-3200,16,84.3
Corsair Vengeance RGB Pro 32 GB,128.99,4,4.031,Black,10.0,16.0,DDR4,3200,corsair-vengeance-rgb-pro-ddr4-3200,32,88.5
Corsair Vengeance RGB Pro 32 GB,128.99,4,4.031,Black,10.0,16.0,DDR4,3200,corsair-vengeance-rgb-pro-ddr4-3200,32,80.5
G.Skill Trident Z RGB 32 GB,79.0,4,2.469,Black,10.0,16.0,DDR4,3200,g-skill-trident-z-rgb-ddr4-3200,32,84.3
