name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_generation,frequency_mhz,slug
Corsair Vengeance RGB 32 GB,94.99,"2,16",2.968,Black,12.0,36.0,DDR5,6000,corsair-vengeance-rgb-32-gb-ddr5-6000
G.Skill Flare X5 32 GB,89.99,"2,16",2.812,Black,12.0,36.0,DDR5,6000,g-skill-flare-x5-32-gb-ddr5-6000
Corsair Vengeance LPX 16 GB,45.99,"2,8",2.874,Black / Yellow,10.0,16.0,DDR4,3200,corsair-vengeance-lpx-16-gb-ddr4-3200
Corsair Vengeance 32 GB,129.99,"2,16",4.062,Black / Gray,10.0,30.0,DDR5,6000,corsair-vengeance-32-gb-ddr5-6000
TEAMGROUP T-Create Expert 32 GB,98.99,"2,16",3.093,Black,10.0,30.0,DDR5,6000,teamgroup-t-create-expert-32-gb-ddr5-6000
Corsair Vengeance LPX 32 GB,77.98,"2,16",2.437,Black / Yellow,10.0,18.0,DDR4,3600,corsair-vengeance-lpx-32-gb-ddr4-3600
Crucial Pro Overclocking 32 GB,84.99,"2,16",2.656,Black,12.0,36.0,DDR5,6000,crucial-pro-overclocking-32-gb-ddr5-6000
G.Skill Trident Z5 RGB 64 GB,234.99,"2,32",3.672,Black / Silver,10.0,32.0,DDR5,6400,g-skill-trident-z5-rgb-64-gb-ddr5-6400
Corsair Vengeance RGB 64 GB,229.99,"2,32",3.594,Black,10.0,30.0,DDR5,6000,corsair-vengeance-rgb-64-gb-ddr5-6000
TEAMGROUP T-Force Delta RGB 32 GB,105.99,"2,16",3.312,White,10.0,30.0,DDR5,6000,teamgroup-t-force-delta-rgb-32-gb-ddr5-6000
G.Skill Trident Z5 Neo RGB 32 GB,119.99,"2,16",3.75,Black,10.0,30.0,DDR5,6000,g-skill-trident-z5-neo-rgb-32-gb-ddr5-6000
Patriot Viper Venom 32 GB,85.99,"2,16",2.687,Black / White,10.0,30.0,DDR5,6000,patriot-viper-venom-32-gb-ddr5-6000
Corsair Vengeance RGB Pro 32 GB,115.0,"2,16",3.594,Black,10.0,18.0,DDR4,3600,corsair-vengeance-rgb-pro-32-gb-ddr4-3600
TEAMGROUP T-Force Delta RGB 32 GB,105.99,"2,16",3.312,Black,10.0,30.0,DDR5,6000,teamgroup-t-force-delta-rgb-32-gb-ddr5-6000
Corsair Vengeance RGB 32 GB,95.99,"2,16",3.0,White / Silver,12.0,36.0,DDR5,6000,corsair-vengeance-rgb-32-gb-ddr5-6000
Silicon Power GAMING 16 GB,32.97,"2,8",2.061,Black / Gray,10.0,16.0,DDR4,3200,silicon-power-gaming-16-gb-ddr4-3200
TEAMGROUP T-Force Vulcan Z 16 GB,38.99,"2,8",2.437,Black,10.0,16.0,DDR4,3200,teamgroup-t-force-vulcan-z-16-gb-ddr4-3200
Corsair Vengeance LPX 32 GB,71.98,"2,16",2.249,Black / Yellow,10.0,16.0,DDR4,3200,corsair-vengeance-lpx-32-gb-ddr4-3200
Kingston FURY Beast 32 GB,122.99,"2,16",3.843,Black,10.0,30.0,DDR5,6000,kingston-fury-beast-32-gb-ddr5-6000
G.Skill Trident Z5 Neo RGB 64 GB,207.99,"2,32",3.25,Black / Silver,10.0,30.0,DDR5,6000,g-skill-trident-z5-neo-rgb-64-gb-ddr5-6000
G.Skill Ripjaws V 32 GB,71.98,"2,16",2.249,Black,10.0,16.0,DDR4,3200,g-skill-ripjaws-v-32-gb-ddr4-3200
TEAMGROUP T-Create Expert 32 GB,98.99,"2,16",3.093,White,10.0,30.0,DDR5,6000,teamgroup-t-create-expert-32-gb-ddr5-6000
G.Skill Flare X5 32 GB,109.99,"2,16",3.437,Black,10.0,30.0,DDR5,6000,g-skill-flare-x5-32-gb-ddr5-6000
Kingston FURY Beast 16 GB,62.93,"2,8",3.933,Black,15.385,40.0,DDR5,5200,kingston-fury-beast-16-gb-ddr5-5200
Corsair Vengeance RGB Pro 16 GB,54.99,"2,8",3.437,Black,10.0,16.0,DDR4,3200,corsair-vengeance-rgb-pro-16-gb-ddr4-3200
Silicon Power Value Gaming 32 GB,90.97,"2,16",2.843,Black,10.0,30.0,DDR5,6000,silicon-power-value-gaming-32-gb-ddr5-6000
Corsair Vengeance 64 GB,156.28,"2,32",2.442,Black,15.385,40.0,DDR5,5200,corsair-vengeance-64-gb-ddr5-5200
G.Skill Flare X5 64 GB,193.98,"2,32",3.031,Black,10.0,30.0,DDR5,6000,g-skill-flare-x5-64-gb-ddr5-6000
TEAMGROUP T-Force Vulcan 32 GB,96.99,"2,16",3.031,Black,10.0,30.0,DDR5,6000,teamgroup-t-force-vulcan-32-gb-ddr5-6000
Silicon Power GAMING 32 GB,60.99,"2,16",1.906,Black,10.0,16.0,DDR4,3200,silicon-power-gaming-32-gb-ddr4-3200
Corsair Vengeance RGB 32 GB,124.99,"2,16",3.906,Gray,10.0,30.0,DDR5,6000,corsair-vengeance-rgb-32-gb-ddr5-6000
Patriot Viper Venom 32 GB,76.99,"2,16",2.406,Black / White,12.0,36.0,DDR5,6000,patriot-viper-venom-32-gb-ddr5-6000
Corsair Dominator Titanium 64 GB,286.44,"2,32",4.476,White,9.697,32.0,DDR5,6600,corsair-dominator-titanium-64-gb-ddr5-6600
G.Skill Ripjaws V 64 GB,1351.9,"4,16",21.123,Black,8.75,14.0,DDR4,3200,g-skill-ripjaws-v-64-gb-ddr4-3200
Crucial Pro Overclocking 32 GB,89.99,"2,16",2.812,White,12.0,36.0,DDR5,6000,crucial-pro-overclocking-32-gb-ddr5-6000
G.Skill Trident Z5 Royal Neo RGB 32 GB,149.99,"2,16",4.687,Silver,9.333,28.0,DDR5,6000,g-skill-trident-z5-royal-neo-rgb-32-gb-ddr5-6000
Corsair Vengeance 64 GB,199.99,"2,32",3.125,Black / Gray,10.0,30.0,DDR5,6000,corsair-vengeance-64-gb-ddr5-6000
G.Skill Trident Z RGB 32 GB,82.99,"2,16",2.593,Black,10.0,18.0,DDR4,3600,g-skill-trident-z-rgb-32-gb-ddr4-3600
