name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_generation,frequency_mhz,slug,capacity_gb,Benchmark
Corsair Vengeance RGB 32 GB,320.0,2,2.968,Black,12.0,36.0,DDR5,6000.0,corsair-vengeance-rgb-32-gb-ddr5-6000,32,206.0
Corsair Vengeance RGB 32 GB,320.0,2,2.968,Black,12.0,36.0,DDR5,6000.0,corsair-vengeance-rgb-32-gb-ddr5-6000,32,178.0
Corsair Vengeance LPX 16 GB,75.0,2,2.874,Black / Yellow,10.0,16.0,DDR4,3200.0,corsair-vengeance-lpx-16-gb-ddr4-3200,16,85.1
Corsair Vengeance LPX 16 GB,75.0,2,2.874,Black / Yellow,10.0,16.0,DDR4,3200.0,corsair-vengeance-lpx-16-gb-ddr4-3200,16,85.1
Corsair Vengeance LPX 16 GB,75.0,2,2.874,Black / Yellow,10.0,16.0,DDR4,3200.0,corsair-vengeance-lpx-16-gb-ddr4-3200,16,84.5
Corsair Vengeance 32 GB,129.99,2,4.062,Black / Gray,10.0,30.0,DDR5,6000.0,corsair-vengeance-32-gb-ddr5-6000,32,172.0
Corsair Vengeance LPX 32 GB,150.0,2,2.437,Black / Yellow,10.0,18.0,DDR4,3600.0,corsair-vengeance-lpx-32-gb-ddr4-3600,32,95.4
Corsair Vengeance RGB 32 GB,320.0,2,3.0,White / Silver,12.0,36.0,DDR5,6000.0,corsair-vengeance-rgb-32-gb-ddr5-6000,32,206.0
Corsair Vengeance RGB 32 GB,320.0,2,3.0,White / Silver,12.0,36.0,DDR5,6000.0,corsair-vengeance-rgb-32-gb-ddr5-6000,32,178.0
Corsair Vengeance LPX 32 GB,120.0,2,2.249,Black / Yellow,10.0,16.0,DDR4,3200.0,corsair-vengeance-lpx-32-gb-ddr4-3200,32,87.5
Corsair Vengeance LPX 32 GB,120.0,2,2.249,Black / Yellow,10.0,16.0,DDR4,3200.0,corsair-vengeance-lpx-32-gb-ddr4-3200,32,84.9
Corsair Vengeance RGB Pro 16 GB,95.0,2,3.437,Black,10.0,16.0,DDR4,3200.0,corsair-vengeance-rgb-pro-16-gb-ddr4-3200,16,80.5
Corsair Vengeance RGB 32 GB,320.0,2,3.906,Gray,10.0,30.0,DDR5,6000.0,corsair-vengeance-rgb-32-gb-ddr5-6000,32,206.0
Corsair Vengeance RGB 32 GB,320.0,2,3.906,Gray,10.0,30.0,DDR5,6000.0,corsair-vengeance-rgb-32-gb-ddr5-6000,32,178.0
G.Skill Ripjaws V 64 GB,280.0,4,21.123,Black,8.75,14.0,DDR4,3200.0,g-skill-ripjaws-v-64-gb-ddr4-3200,64,94.5
G.Skill Ripjaws V 16 GB,75.0,2,2.874,Black,10.0,16.0,DDR4,3200.0,g-skill-ripjaws-v-16-gb-ddr4-3200,16,84.0
Corsair Vengeance RGB 32 GB,94.99,2,2.968,Black,11.25,36.0,DDR5,6400.0,corsair-vengeance-rgb-32-gb-ddr5-6400,32,185.0
Corsair Vengeance 32 GB,109.99,2,3.437,Black,12.0,36.0,DDR5,6000.0,corsair-vengeance-32-gb-ddr5-6000,32,172.0
Corsair Vengeance 32 GB,114.99,2,3.593,Black / Silver,10.0,30.0,DDR5,6000.0,corsair-vengeance-32-gb-ddr5-6000,32,172.0
Crucial Pro 32 GB,81.99,2,2.562,Black,11.875,38.0,DDR5,6400.0,crucial-pro-32-gb-ddr5-6400,32,210.0
Crucial Pro 32 GB,81.99,2,2.562,Black,11.875,38.0,DDR5,6400.0,crucial-pro-32-gb-ddr5-6400,32,210.0
Corsair Vengeance 32 GB,86.99,2,2.718,Black,12.0,36.0,DDR5,6000.0,corsair-vengeance-32-gb-ddr5-6000,32,172.0
