name,price,capacity,price_per_gb,type,cache,form_factor,interface,brand,model,slug
Samsung 990 Pro,149.99,2000.0,0.075,SSD,2048.0,M.2-2280,PCIe Gen4,Samsung,990 Pro,samsung-990-pro-2000-0-pcie-gen4
Crucial P3 Plus,56.95,1000.0,0.057,SSD,,M.2-2280,PCIe Gen4,Crucial,P3 Plus,crucial-p3-plus-1000-0-pcie-gen4
Crucial P3 Plus,113.95,2000.0,0.057,SSD,,M.2-2280,PCIe Gen4,Crucial,P3 Plus,crucial-p3-plus-2000-0-pcie-gen4
Samsung 990 Pro,299.99,4000.0,0.075,SSD,4096.0,M.2-2280,PCIe Gen4,Samsung,990 Pro,samsung-990-pro-4000-0-pcie-gen4
Kingston NV3,58.0,1000.0,0.058,SSD,,M.2-2280,PCIe Gen4,Kingston,NV3,kingston-nv3-1000-0-pcie-gen4
Samsung 990 Pro,99.99,1000.0,0.1,SSD,1024.0,M.2-2280,PCIe Gen4,Samsung,990 Pro,samsung-990-pro-1000-0-pcie-gen4
Samsung 990 EVO Plus,129.99,2000.0,0.065,SSD,,M.2-2280,PCIe Gen5,Samsung,990 EVO Plus,samsung-990-evo-plus-2000-0-pcie-gen5
Western Digital WD_Black SN850X,154.54,2000.0,0.077,SSD,,M.2-2280,PCIe Gen4,Western,Digital WD_Black SN850X,western-digital-wd-black-sn850x-2000-0-pcie-gen4
Silicon Power UD90,92.97,2000.0,0.046,SSD,,M.2-2280,PCIe Gen4,Silicon,Power UD90,silicon-power-ud90-2000-0-pcie-gen4
Samsung 9100 PRO,429.99,4000.0,0.107,SSD,4096.0,M.2-2280,PCIe Gen5,Samsung,9100 PRO,samsung-9100-pro-4000-0-pcie-gen5
Samsung 990 EVO Plus,74.98,1000.0,0.075,SSD,,M.2-2280,PCIe Gen5,Samsung,990 EVO Plus,samsung-990-evo-plus-1000-0-pcie-gen5
Seagate Barracuda Compute,66.99,2000.0,0.033,7200,256.0,3.5,SATA,Seagate,Barracuda Compute,seagate-barracuda-compute-2000-0-sata
Klevv CRAS C910,57.99,1000.0,0.058,SSD,,M.2-2280,PCIe Gen4,Klevv,CRAS C910,klevv-cras-c910-1000-0-pcie-gen4
Western Digital Black SN770,77.98,1000.0,0.078,SSD,,M.2-2280,PCIe Gen4,Western,Digital Black SN770,western-digital-black-sn770-1000-0-pcie-gen4
Crucial P3 Plus,44.99,500.0,0.09,SSD,,M.2-2280,PCIe Gen4,Crucial,P3 Plus,crucial-p3-plus-500-0-pcie-gen4
Western Digital Black SN770,124.99,2000.0,0.062,SSD,,M.2-2280,PCIe Gen4,Western,Digital Black SN770,western-digital-black-sn770-2000-0-pcie-gen4
Samsung 870 Evo,92.9,1000.0,0.093,SSD,1024.0,2.5,SATA,Samsung,870 Evo,samsung-870-evo-1000-0-sata
Western Digital WD_Black SN850X,599.5,8000.0,0.075,SSD,,M.2-2280,PCIe Gen4,Western,Digital WD_Black SN850X,western-digital-wd-black-sn850x-8000-0-pcie-gen4
Western Digital WD_Black SN850X,268.35,4000.0,0.067,SSD,,M.2-2280,PCIe Gen4,Western,Digital WD_Black SN850X,western-digital-wd-black-sn850x-4000-0-pcie-gen4
Samsung 9100 PRO,229.99,2000.0,0.115,SSD,2048.0,M.2-2280,PCIe Gen5,Samsung,9100 PRO,samsung-9100-pro-2000-0-pcie-gen5
Kingston NV3,114.5,2000.0,0.057,SSD,,M.2-2280,PCIe Gen4,Kingston,NV3,kingston-nv3-2000-0-pcie-gen4
Crucial P3 Plus,211.45,4000.0,0.053,SSD,,M.2-2280,PCIe Gen4,Crucial,P3 Plus,crucial-p3-plus-4000-0-pcie-gen4
Western Digital WD_Black SN850X,91.69,1000.0,0.092,SSD,,M.2-2280,PCIe Gen4,Western,Digital WD_Black SN850X,western-digital-wd-black-sn850x-1000-0-pcie-gen4
Silicon Power UD90,51.99,1000.0,0.052,SSD,,M.2-2280,PCIe Gen4,Silicon,Power UD90,silicon-power-ud90-1000-0-pcie-gen4
Western Digital Blue SN580,64.99,1000.0,0.065,SSD,,M.2-2280,PCIe Gen4,Western,Digital Blue SN580,western-digital-blue-sn580-1000-0-pcie-gen4
Samsung 990 EVO Plus,249.99,4000.0,0.062,SSD,,M.2-2280,PCIe Gen5,Samsung,990 EVO Plus,samsung-990-evo-plus-4000-0-pcie-gen5
Klevv CRAS C910,103.99,2000.0,0.052,SSD,,M.2-2280,PCIe Gen4,Klevv,CRAS C910,klevv-cras-c910-2000-0-pcie-gen4
Seagate IronWolf Pro,479.99,24000.0,0.02,7200,512.0,3.5,SATA,Seagate,IronWolf Pro,seagate-ironwolf-pro-24000-0-sata
TEAMGROUP MP44L,57.99,1000.0,0.058,SSD,,M.2-2280,PCIe Gen4,TEAMGROUP,MP44L,teamgroup-mp44l-1000-0-pcie-gen4
Intel SSDPEDMD020T401,3937.0,2000.0,1.968,SSD,,PCIe,PCIe Gen4,Intel,SSDPEDMD020T401,intel-ssdpedmd020t401-2000-0-pcie-gen4
SK Hynix Platinum P41,114.99,2000.0,0.057,SSD,,M.2-2280,PCIe Gen4,SK,Hynix Platinum P41,sk-hynix-platinum-p41-2000-0-pcie-gen4
Seagate BarraCuda,74.99,4000.0,0.019,5400,256.0,3.5,SATA,Seagate,BarraCuda,seagate-barracuda-4000-0-sata
Samsung 980 Pro,184.95,2000.0,0.092,SSD,2048.0,M.2-2280,PCIe Gen4,Samsung,980 Pro,samsung-980-pro-2000-0-pcie-gen4
Samsung 970 Evo Plus,134.0,1000.0,0.134,SSD,1024.0,M.2-2280,PCIe Gen4,Samsung,970 Evo Plus,samsung-970-evo-plus-1000-0-pcie-gen4
Patriot P300,33.99,512.0,0.066,SSD,,M.2-2280,PCIe Gen4,Patriot,P300,patriot-p300-512-0-pcie-gen4
Western Digital Caviar Blue,42.99,1000.0,0.043,7200,64.0,3.5,SATA,Western,Digital Caviar Blue,western-digital-caviar-blue-1000-0-sata
